"","gene_id","seqnames","start_3ire","end_3ire","transcript_id_3ire","gene_name","quality_3ire","start_5ire","end_5ire","transcript_id_5ire","quality_5ire"
"27","ENSG00000183840","chr2",132645965,132645996,"ENST00000329321","GPR39","Low",132416597,132416628,"ENST00000329321","Low"
"28","ENSG00000115159","chr2",156583619,156583651,"ENST00000310454","GPD2","Medium",156435643,156435674,"ENST00000310454","Low"
"29","ENSG00000136531","chr2",165297017,165297042,"ENST00000637367","SCN2A","Low",165297017,165297042,"ENST00000636985","Low"
"30","ENSG00000091409","chr2",172505395,172505426,"ENST00000264107","ITGA6","Low",172427691,172427722,"ENST00000264107","Low"
"31","ENSG00000116095","chr2",178505319,178505350,"ENST00000234453","PLEKHA3","Medium",178480771,178480802,"ENST00000234453","Low"
"32","ENSG00000061676","chr2",182920039,182920070,"ENST00000361354","NCKAP1","Low",183038799,183038830,"ENST00000360982","Medium"
"33","ENSG00000072195","chr2",219492851,219492882,"ENST00000312358","SPEG","Low",219460881,219460913,"ENST00000396688","Low"
"34","ENSG00000115677","chr2",241227818,241227850,"ENST00000391975","HDLBP","Low",241266573,241266604,"ENST00000449864","Medium"
"35","ENSG00000179796","chr3",26711729,26711760,"ENST00000648296","LRRC3B","Low",26622884,26622915,"ENST00000396641","Medium"
"36","ENSG00000144677","chr3",37981208,37981239,"ENST00000443503","CTDSPL","High",37862041,37862072,"ENST00000443503","Low"
"37","ENSG00000163808","chr3",44780886,44780917,"ENST00000438321","KIF15","Low",44780886,44780917,"ENST00000481166","Low"
"38","ENSG00000114735","chr3",50585032,50585063,"ENST00000434410","HEMK1","Low",50569714,50569745,"ENST00000424388","Medium"
"39","ENSG00000243696","chr3",52813348,52813379,"ENST00000468472","AC006254.1","Low",52835061,52835092,"ENST00000468472","Medium"
"40","ENSG00000114423","chr3",105655664,105655695,"ENST00000394030","CBLB","Low",105868936,105868967,"ENST00000394030","Low"
"41","ENSG00000176542","chr3",113650448,113650479,"ENST00000316407","USF3","Medium",113696372,113696403,"ENST00000491165","High"
"42","ENSG00000065534","chr3",123610532,123610564,"ENST00000360772","MYLK","Medium",123625044,123625075,"ENST00000418370","Medium"
"43","ENSG00000081307","chr3",132677961,132677992,"ENST00000264991","UBA5","Low",132659499,132659530,"ENST00000356232","Low"
"44","ENSG00000091527","chr3",133587412,133587443,"ENST00000420115","CDV3","Low",133573871,133573902,"ENST00000264993","Low"
"45","ENSG00000155893","chr3",141306322,141306353,"ENST00000636601","PXYLP1","High",141274110,141274141,"ENST00000508812","High"
"46","ENSG00000078070","chr3",183015228,183015259,"ENST00000265594","MCCC1","Low",183098776,183098807,"ENST00000497959","Medium"
"47","ENSG00000163960","chr3",196348842,196348873,"ENST00000296328","UBXN7","Low",196416176,196416207,"ENST00000413584","Medium"
"48","ENSG00000159674","chr4",1167421,1167452,"ENST00000290902","SPON2","Medium",1207904,1207935,"ENST00000509233","Low"
"49","ENSG00000163945","chr4",1386117,1386149,"ENST00000511216","UVSSA","Medium",1393984,1394015,"ENST00000324803","Low"
"50","ENSG00000159733","chr4",2270454,2270486,"ENST00000508471","ZFYVE28","Low",2418604,2418635,"ENST00000290974","Low"
"51","ENSG00000087266","chr4",2834528,2834559,"ENST00000442312","SH3BP2","Medium",2812008,2812040,"ENST00000513095","Low"
"52","ENSG00000188981","chr4",3261682,3261713,"ENST00000510580","MSANTD1","Medium",3248891,3248922,"ENST00000438480","Low"
"53","ENSG00000169851","chr4",30732471,30732502,"ENST00000361762","PCDH7","Medium",30721304,30721335,"ENST00000361762","Low"
"54","ENSG00000184178","chr4",52873008,52873039,"ENST00000401642","SCFD2","Medium",53365221,53365252,"ENST00000503450","Low"
"55","ENSG00000080493","chr4",71570094,71570125,"ENST00000425175","SLC4A4","Low",71187327,71187353,"ENST00000351898","Medium"
"56","ENSG00000138771","chr4",76782374,76782406,"ENST00000296043","SHROOM3","Low",76435792,76435823,"ENST00000296043","Low"
"57","ENSG00000170522","chr4",110050619,110050650,"ENST00000394607","ELOVL6","Low",110198502,110198533,"ENST00000302274","Low"
"58","ENSG00000145362","chr4",113369642,113369673,"ENST00000612754","ANK2","Medium",113117018,113117049,"ENST00000508613","Low"
"59","ENSG00000138735","chr4",119496276,119496307,"ENST00000354960","PDE5A","Low",119627341,119627372,"ENST00000264805","Low"
"60","ENSG00000170153","chr4",140863176,140863207,"ENST00000515673","RNF150","Low",141133147,141133178,"ENST00000306799","Medium"
"61","ENSG00000151611","chr4",145655222,145655254,"ENST00000647947","MMAA","Low",145619340,145619371,"ENST00000281317","Low"
"62","ENSG00000063438","chr5",437287,437318,"ENST00000316418","AHRR","Low",343630,343661,"ENST00000504625","Low"
"63","ENSG00000113407","chr5",33453373,33453404,"ENST00000508361","TARS","Low",33440923,33440954,"ENST00000265112","Medium"
"64","ENSG00000171522","chr5",40692922,40692953,"ENST00000302472","PTGER4","Medium",40679972,40680003,"ENST00000302472","Medium"
"65","ENSG00000049883","chr5",72331277,72331308,"ENST00000486995","PTCD2","Medium",72331277,72331308,"ENST00000543322","Medium"
"66","ENSG00000118985","chr5",95885458,95885489,"ENST00000237853","ELL2","Medium",95961966,95961997,"ENST00000237853","Low"
"67","ENSG00000145743","chr5",107859654,107859685,"ENST00000359660","FBXL17","Low",108380834,108380866,"ENST00000359660","Medium"
"68","ENSG00000145779","chr5",119398529,119398560,"ENST00000504771","TNFAIP8","Medium",119355793,119355824,"ENST00000504771","Medium"
"69","ENSG00000069011","chr5",135027992,135028023,"ENST00000265340","PITX1","Low",135034248,135034280,"ENST00000265340","Low"
"70","ENSG00000169045","chr5",179614870,179614902,"ENST00000393432","HNRNPH1","Medium",179634226,179634257,"ENST00000522256","Medium"
"71","ENSG00000145990","chr6",13359272,13359303,"ENST00000379284","GFOD1","Low",13487341,13487372,"ENST00000379287","Low"
"72","ENSG00000111913","chr6",24805532,24805564,"ENST00000644685","RIPOR2","Low",24877298,24877329,"ENST00000378023","Low"
"73","ENSG00000124508","chr6",26388096,26388127,"ENST00000471116","BTN2A2","Medium",26388096,26388127,"ENST00000490025","Medium"
"74","ENSG00000204290","chr6",32396328,32396359,"ENST00000465865","BTNL2","Medium",32396328,32396359,"ENST00000544175","Medium"
"75","ENSG00000156639","chr6",38152928,38152959,"ENST00000287218","ZFAND3","High",37819866,37819897,"ENST00000287218","Low"
"76","ENSG00000164627","chr6",39333408,39333440,"ENST00000458470","KIF6","Medium",39586303,39586334,"ENST00000538893","Medium"
"77","ENSG00000112561","chr6",41686824,41686855,"ENST00000394283","TFEB","Low",41733434,41733465,"ENST00000394283","Low"
"78","ENSG00000001084","chr6",53498621,53498652,"ENST00000509541","GCLC","Medium",53544793,53544824,"ENST00000650454","Low"
"79","ENSG00000130338","chr6",158507923,158507954,"ENST00000367097","TULP4","Medium",158313168,158313199,"ENST00000367097","Medium"
"80","ENSG00000205903","chr7",6654763,6654795,"ENST00000382252","ZNF316","Medium",6639074,6639105,"ENST00000382252","Medium"
"81","ENSG00000106392","chr7",7243802,7243833,"ENST00000436587","C1GALT1","Low",7182644,7182675,"ENST00000419721","Low"
"82","ENSG00000106624","chr7",44114004,44114035,"ENST00000413907","AEBP1","Low",44104361,44104392,"ENST00000223357","Low"
"83","ENSG00000157214","chr7",90237019,90237050,"ENST00000287908","STEAP2","Low",90211960,90211991,"ENST00000287908","Low"
"84","ENSG00000127920","chr7",93926485,93926517,"ENST00000248564","GNG11","Low",93921975,93922006,"ENST00000248564","Low"
"85","ENSG00000013374","chr7",151377538,151377569,"ENST00000413040","NUB1","Low",151341816,151341846,"ENST00000468404","Low"
"86","ENSG00000130675","chr7",157005131,157005162,"ENST00000252971","MNX1","Medium",157009209,157009240,"ENST00000543409","High"
"87","ENSG00000047644","chrX",10141664,10141695,"ENST00000380861","WWC3","Low",10015761,10015792,"ENST00000380861","Low"
"88","ENSG00000165186","chrX",23403471,23403502,"ENST00000379361","PTCHD1","Low",23334501,23334533,"ENST00000379361","Medium"
"89","ENSG00000131089","chrX",63641090,63641121,"ENST00000636926","ARHGEF9","High",63754342,63754373,"ENST00000253401","Low"
"90","ENSG00000169083","chrX",67727771,67727803,"ENST00000612452","AR","Medium",67545517,67545548,"ENST00000612452","Low"
"91","ENSG00000130052","chrX",68717608,68717639,"ENST00000523864","STARD8","High",68647806,68647837,"ENST00000523864","Medium"
"92","ENSG00000147164","chrX",71060639,71060670,"ENST00000374274","SNX12","Low",71073362,71073393,"ENST00000622277","Medium"
"93","ENSG00000204131","chrX",72145646,72145677,"ENST00000633930","NHSL2","Low",72079915,72079946,"ENST00000632230","Low"
"94","ENSG00000188706","chrX",129805078,129805109,"ENST00000357166","ZDHHC9","Low",129843356,129843387,"ENST00000371064","Low"
"95","ENSG00000102081","chrX",147914390,147914422,"ENST00000621447","FMR1","Low",147912019,147912051,"ENST00000440235","Low"
"96","ENSG00000197620","chrX",149550401,149550432,"ENST00000514208","CXorf40A","Low",149545490,149545521,"ENST00000359293","Low"
"97","ENSG00000183305","chrX",152718179,152718210,"ENST00000331220","MAGEA2B","Low",152716680,152716711,"ENST00000331220","Medium"
"98","ENSG00000268606","chrX",152750260,152750291,"ENST00000620710","MAGEA2","Low",152751759,152751790,"ENST00000620710","Medium"
"99","ENSG00000269433","chrX",154271621,154271652,"ENST00000599405","OPN1MW3","Low",154257590,154257619,"ENST00000599405","Medium"
"100","ENSG00000071553","chrX",154431136,154431167,"ENST00000455205","ATP6AP1","Low",154431136,154431167,"ENST00000619046","Low"
"101","ENSG00000203879","chrX",154438788,154438819,"ENST00000445564","GDI1","Medium",154436991,154437023,"ENST00000630693","Medium"
"102","ENSG00000185010","chrX",154930815,154930846,"ENST00000647125","F8","Low",154886261,154886292,"ENST00000330287","Medium"
"103","ENSG00000104728","chr8",1958305,1958336,"ENST00000349830","ARHGEF10","Medium",1859923,1859954,"ENST00000398560","Medium"
"104","ENSG00000147408","chr8",19439891,19439922,"ENST00000397998","CSGALNACT1","Medium",19585200,19585231,"ENST00000332246","Low"
"105","ENSG00000168546","chr8",21693098,21693129,"ENST00000524240","GFRA2","Low",21782737,21782769,"ENST00000519195","Medium"
"106","ENSG00000168487","chr8",22211623,22211654,"ENST00000354870","BMP1","Medium",22164865,22164896,"ENST00000306385","Low"
"107","ENSG00000120913","chr8",22593950,22593981,"ENST00000308354","PDLIM2","Low",22579446,22579477,"ENST00000397760","Low"
"108","ENSG00000147548","chr8",38272273,38272304,"ENST00000317025","NSD3","Low",38381601,38381632,"ENST00000529223","Low"
"109","ENSG00000147526","chr8",38849915,38849947,"ENST00000519416","TACC1","Low",38788263,38788291,"ENST00000521935","Medium"
"110","ENSG00000147509","chr8",53946706,53946737,"ENST00000517659","RGS20","Medium",53946706,53946737,"ENST00000522225","Medium"
"111","ENSG00000205133","chr8",92883822,92883853,"ENST00000521988","TRIQK","Low",92966105,92966136,"ENST00000521988","Medium"
"112","ENSG00000169427","chr8",139611397,139611428,"ENST00000522317","KCNK9","Medium",139703347,139703378,"ENST00000648164","Low"
"113","ENSG00000185189","chr8",143834254,143834285,"ENST00000442628","NRBP2","Low",143840875,143840906,"ENST00000442628","Medium"
"114","ENSG00000137070","chr9",34659810,34659841,"ENST00000555247","IL11RA","Low",34651931,34651962,"ENST00000555003","Low"
"115","ENSG00000198963","chr9",74691257,74691288,"ENST00000376896","RORB","Low",74497920,74497951,"ENST00000376896","Medium"
"116","ENSG00000148082","chr9",89006950,89006982,"ENST00000375835","SHC3","Medium",89178629,89178660,"ENST00000375835","Low"
"117","ENSG00000158169","chr9",95099572,95099603,"ENST00000289081","FANCC","Low",95317197,95317229,"ENST00000375305","Medium"
"118","ENSG00000119523","chr9",99217424,99217455,"ENST00000238477","ALG2","Low",99221909,99221940,"ENST00000238477","Low"
"119","ENSG00000070159","chr9",109379605,109379633,"ENST00000262539","PTPN3","Low",109449225,109449256,"ENST00000412145","High"
"120","ENSG00000197859","chr9",133575031,133575062,"ENST00000354484","ADAMTSL2","Medium",133534681,133534712,"ENST00000393061","High"
"121","ENSG00000169925","chr9",134031974,134032005,"ENST00000303407","BRD3","Low",134068452,134068483,"ENST00000371834","Low"
"122","ENSG00000130635","chr9",134842565,134842596,"ENST00000371817","COL5A1","Medium",134642101,134642133,"ENST00000371817","Medium"
"123","ENSG00000284976","chr9",137218711,137218742,"ENST00000645271","BX255925.3","High",137217653,137217684,"ENST00000645271","Medium"
"124","ENSG00000188986","chr9",137273388,137273419,"ENST00000343053","NELFB","Low",137255332,137255363,"ENST00000343053","Low"
"125","ENSG00000181090","chr9",137866414,137866446,"ENST00000462942","EHMT1","Medium",137742979,137743010,"ENST00000637318","High"
"126","ENSG00000177830","chr11",868559,868590,"ENST00000454838","CHID1","Low",914998,915029,"ENST00000449825","High"
"127","ENSG00000166452","chr11",8917843,8917874,"ENST00000529876","AKIP1","Medium",8911200,8911231,"ENST00000529876","Low"
"128","ENSG00000176697","chr11",27656808,27656839,"ENST00000439476","BDNF","Medium",27720714,27720745,"ENST00000525950","Medium"
"129","ENSG00000007372","chr11",31787492,31787523,"ENST00000606377","PAX6","Low",31807386,31807417,"ENST00000640460","Low"
"130","ENSG00000176148","chr11",33068709,33068740,"ENST00000528107","TCP11L1","Low",33039611,33039642,"ENST00000530419","Low"
"131","ENSG00000149115","chr11",57313830,57313862,"ENST00000528882","TNKS1BP1","High",57311418,57311450,"ENST00000530920","Medium"
"132","ENSG00000162144","chr11",61349182,61349213,"ENST00000294072","CYB561A3","Low",61360348,61360379,"ENST00000537364","Low"
"133","ENSG00000072518","chr11",63910140,63910171,"ENST00000402010","MARK2","Low",63839118,63839149,"ENST00000402010","Low"
"134","ENSG00000168056","chr11",65552285,65552316,"ENST00000528516","LTBP3","Medium",65546662,65546693,"ENST00000529189","Medium"
"135","ENSG00000172818","chr11",65796450,65796481,"ENST00000335987","OVOL1","Medium",65787095,65787126,"ENST00000335987","High"
"136","ENSG00000173120","chr11",67257129,67257160,"ENST00000398645","KDM2A","High",67119302,67119333,"ENST00000398645","High"
"137","ENSG00000110075","chr11",68615112,68615143,"ENST00000393800","PPP6R3","Medium",68515139,68515166,"ENST00000528635","Medium"
"138","ENSG00000172890","chr11",71490865,71490896,"ENST00000525200","NADSYN1","Low",71453120,71453151,"ENST00000319023","Low"
"139","ENSG00000077514","chr11",74642251,74642282,"ENST00000263681","POLD3","Medium",74592973,74593004,"ENST00000527458","Low"
"140","ENSG00000137507","chr11",76658914,76658945,"ENST00000260061","LRRC32","Medium",76670695,76670726,"ENST00000260061","Low"
"141","ENSG00000149231","chr11",96354531,96354562,"ENST00000643839","CCDC82","Medium",96388939,96388970,"ENST00000645439","Low"
"142","ENSG00000137648","chr11",118103187,118103218,"ENST00000517483","TMPRSS4","Medium",118103187,118103218,"ENST00000522307","Medium"
"143","ENSG00000151502","chr11",134247065,134247096,"ENST00000281187","VPS26B","Low",134224766,134224797,"ENST00000281187","Medium"
"144","ENSG00000109956","chr11",134380519,134380550,"ENST00000392580","B3GAT1","Medium",134390254,134390286,"ENST00000524765","Medium"
"145","ENSG00000172661","chr10",45792830,45792861,"ENST00000359860","WASHC2C","Low",45727289,45727320,"ENST00000359860","Low"
"146","ENSG00000099290","chr10",50133375,50133406,"ENST00000611324","WASHC2A","Low",50067977,50068005,"ENST00000611324","Low"
"147","ENSG00000204147","chr10",50756795,50756826,"ENST00000374007","ASAH2B","Low",50739899,50739930,"ENST00000374007","Low"
"148","ENSG00000214688","chr10",71712682,71712713,"ENST00000441508","C10orf105","Low",71737791,71737822,"ENST00000398786","Low"
"149","ENSG00000148719","chr10",72334394,72334426,"ENST00000394903","DNAJB12","Low",72354006,72354037,"ENST00000461919","Medium"
"150","ENSG00000171206","chr10",102660385,102660416,"ENST00000643721","TRIM8","Medium",102643668,102643699,"ENST00000643721","Medium"
"151","ENSG00000165868","chr10",116674458,116674489,"ENST00000369209","HSPA12A","Medium",116708074,116708105,"ENST00000468935","Low"
"152","ENSG00000111269","chr12",12643263,12643294,"ENST00000228865","CREBL2","Low",12612126,12612157,"ENST00000228865","Low"
"153","ENSG00000151490","chr12",15595755,15595786,"ENST00000445537","PTPRO","Medium",15322455,15322487,"ENST00000281171","Medium"
"154","ENSG00000188906","chr12",40304668,40304699,"ENST00000343742","LRRK2","Low",40225034,40225065,"ENST00000343742","Low"
"155","ENSG00000139624","chr12",50134662,50134693,"ENST00000551697","CERS5","Low",50167432,50167464,"ENST00000422340","Low"
"156","ENSG00000110911","chr12",50979444,50979475,"ENST00000551215","SLC11A2","Low",51026106,51026137,"ENST00000541174","Low"
"157","ENSG00000127325","chr12",69670160,69670191,"ENST00000476098","BEST3","Medium",69699244,69699275,"ENST00000547208","Medium"
"158","ENSG00000127328","chr12",69795545,69795576,"ENST00000378815","RAB3IP","Low",69738681,69738709,"ENST00000247833","Medium"
"159","ENSG00000120833","chr12",93574120,93574151,"ENST00000548537","SOCS2","Low",93572523,93572554,"ENST00000551556","Medium"
"160","ENSG00000169372","chr12",93894532,93894563,"ENST00000548483","CRADD","High",93677724,93677755,"ENST00000542893","Low"
"161","ENSG00000136014","chr12",95518192,95518223,"ENST00000552440","USP44","Low",95548215,95548246,"ENST00000537435","Low"
"162","ENSG00000136021","chr12",100340535,100340566,"ENST00000360820","SCYL2","Low",100311057,100311082,"ENST00000548392","Low"
"163","ENSG00000110906","chr12",109470403,109470434,"ENST00000537165","KCTD10","Low",109477347,109477378,"ENST00000228495","Medium"
"164","ENSG00000171435","chr12",117461352,117461383,"ENST00000425217","KSR2","Low",117968274,117968306,"ENST00000339824","Low"
"165","ENSG00000110987","chr12",122059761,122059792,"ENST00000538010","BCL7A","Medium",122021691,122021722,"ENST00000538010","Low"
"166","ENSG00000111452","chr12",131139838,131139870,"ENST00000261654","ADGRD1","Medium",130954141,130954172,"ENST00000261654","Medium"
"167","ENSG00000183722","chr13",39216048,39216079,"ENST00000648377","LHFPL6","Low",39603089,39603120,"ENST00000648377","Medium"
"168","ENSG00000136104","chr13",50934956,50934987,"ENST00000644297","RNASEH2B","Low",50912077,50912108,"ENST00000646709","Low"
"169","ENSG00000102786","chr13",51362028,51362059,"ENST00000398119","INTS6","Low",51452614,51452645,"ENST00000469430","Medium"
"170","ENSG00000153487","chr13",110721820,110721851,"ENST00000333219","ING1","High",110713874,110713905,"ENST00000333219","Low"
"171","ENSG00000102606","chr13",111303606,111303637,"ENST00000646102","ARHGEF7","Low",111209969,111210000,"ENST00000449979","Low"
"172","ENSG00000126216","chr13",112485957,112485988,"ENST00000261965","TUBGCP3","Low",112588007,112588038,"ENST00000261965","Medium"
"173","ENSG00000068650","chr13",112884347,112884378,"ENST00000487903","ATP11A","Low",112690353,112690384,"ENST00000487903","Medium"
"174","ENSG00000126218","chr13",113149354,113149385,"ENST00000409306","F10","Low",113122814,113122840,"ENST00000409306","High"
"175","ENSG00000259431","chr14",23559984,23560015,"ENST00000288014","THTPA","Medium",23556041,23556073,"ENST00000404535","Low"
"176","ENSG00000100897","chr14",24119576,24119607,"ENST00000557802","DCAF11","Medium",24114948,24114979,"ENST00000557810","Low"
"177","ENSG00000100441","chr14",24438000,24438031,"ENST00000251343","KHNYN","Low",24430698,24430729,"ENST00000556510","Low"
"178","ENSG00000168952","chr14",24809757,24809789,"ENST00000396700","STXBP6","Low",25050209,25050240,"ENST00000323944","Low"
"179","ENSG00000139910","chr14",26480113,26480143,"ENST00000483536","NOVA1","Low",26480113,26480143,"ENST00000347476","Low"
"180","ENSG00000100852","chr14",32155785,32155816,"ENST00000396582","ARHGAP5","High",32077026,32077053,"ENST00000556611","Medium"
"181","ENSG00000165410","chr14",34710073,34710104,"ENST00000298159","CFL2","Low",34714735,34714766,"ENST00000554470","Low"
"182","ENSG00000012983","chr14",50418591,50418622,"ENST00000013125","MAP4K5","Medium",50532532,50532563,"ENST00000013125","Medium"
"183","ENSG00000198133","chr14",67454586,67454617,"ENST00000555638","TMEM229B","Low",67487029,67487060,"ENST00000555638","Medium"
"184","ENSG00000100678","chr14",70047756,70047787,"ENST00000533541","SLC8A3","Medium",70188795,70188826,"ENST00000356921","Low"
"185","ENSG00000100596","chr14",77506835,77506866,"ENST00000216484","SPTLC2","Low",77616743,77616773,"ENST00000216484","Low"
"186","ENSG00000100629","chr14",80477805,80477836,"ENST00000554502","CEP128","Medium",80959466,80959497,"ENST00000556042","Low"
"187","ENSG00000100433","chr14",88182244,88182275,"ENST00000340700","KCNK10","Low",88326589,88326620,"ENST00000340700","Low"
"188","ENSG00000053254","chr14",89158911,89158942,"ENST00000345097","FOXN3","Low",89416957,89416988,"ENST00000557258","Low"
"189","ENSG00000140104","chr14",104994938,104994969,"ENST00000547315","CLBA1","Low",104990867,104990898,"ENST00000549240","Low"
"190","ENSG00000114062","chr15",25338346,25338377,"ENST00000636667","UBE3A","Medium",25438974,25439005,"ENST00000635914","Low"
"191","ENSG00000104154","chr15",45481352,45481383,"ENST00000261867","SLC30A4","Low",45522639,45522670,"ENST00000261867","Low"
"192","ENSG00000128989","chr15",52549978,52550009,"ENST00000566423","ARPP19","Medium",52569727,52569758,"ENST00000561971","Low"
"193","ENSG00000157483","chr15",59135371,59135402,"ENST00000288235","MYO1E","Low",59372855,59372886,"ENST00000288235","Low"
"194","ENSG00000166949","chr15",67193596,67193627,"ENST00000327367","SMAD3","Low",67065948,67065979,"ENST00000327367","Low"
"195","ENSG00000178761","chr15",74902024,74902055,"ENST00000357635","FAM219B","Medium",74906512,74906543,"ENST00000565772","Low"
"196","ENSG00000182175","chr15",93038196,93038227,"ENST00000329082","RGMA","Medium",93052394,93052426,"ENST00000556658","Low"
"197","ENSG00000213918","chr16",3656119,3656150,"ENST00000570769","DNASE1","High",3642986,3643017,"ENST00000570769","Medium"
"198","ENSG00000166246","chr16",4749350,4749381,"ENST00000299320","C16orf71","Low",4734618,4734649,"ENST00000299320","Low"
"199","ENSG00000179889","chr16",15029440,15029471,"ENST00000455313","PDXDC1","Low",14974829,14974860,"ENST00000563522","Low"
"200","ENSG00000103021","chr16",58282418,58282449,"ENST00000443128","CCDC113","High",58249980,58250011,"ENST00000443128","Low"
"201","ENSG00000166548","chr16",66510072,66510103,"ENST00000299697","TK2","Low",66549506,66549537,"ENST00000527800","Low"
"202","ENSG00000198373","chr16",69910007,69910038,"ENST00000569174","WWP2","Low",69925044,69925075,"ENST00000568684","Low"
"203","ENSG00000189091","chr16",70571832,70571863,"ENST00000302516","SF3B3","Low",70524018,70524049,"ENST00000577085","Low"
"204","ENSG00000050820","chr16",75236938,75236970,"ENST00000562556","BCAR1","Low",75251807,75251838,"ENST00000564028","Low"
"205","ENSG00000103264","chr16",87330383,87330414,"ENST00000311635","FBXO31","High",87389805,87389836,"ENST00000618298","High"
"206","ENSG00000196689","chr17",3565589,3565620,"ENST00000399759","TRPV1","Low",3597048,3597079,"ENST00000571088","Low"
"207","ENSG00000184185","chr17",21418726,21418757,"ENST00000583088","KCNJ12","Low",21376723,21376755,"ENST00000583088","Medium"
"208","ENSG00000109103","chr17",28547448,28547479,"ENST00000301032","UNC119","High",28551121,28551152,"ENST00000484980","Medium"
"209","ENSG00000173065","chr17",28758157,28758188,"ENST00000341217","FAM222B","Low",28767021,28767052,"ENST00000584059","Low"
"210","ENSG00000275832","chr17",38489800,38489831,"ENST00000620325","ARHGAP23","Medium",38457637,38457668,"ENST00000618942","Low"
"211","ENSG00000275023","chr17",38728455,38728487,"ENST00000621332","MLLT6","Low",38705604,38705632,"ENST00000620609","Low"
"212","ENSG00000276293","chr17",38765988,38766019,"ENST00000619039","PIP4K2B","High",38792848,38792879,"ENST00000617499","Low"
"213","ENSG00000004939","chr17",44249554,44249585,"ENST00000262418","SLC4A1","Low",44249554,44249585,"ENST00000631130","Low"
"214","ENSG00000006025","chr17",47808314,47808345,"ENST00000579728","OSBPL7","Medium",47821798,47821829,"ENST00000392507","High"
"215","ENSG00000120093","chr17",48549409,48549440,"ENST00000470495","HOXB3","Medium",48582392,48582423,"ENST00000489475","Low"
"216","ENSG00000154975","chr17",51630864,51630895,"ENST00000570565","CA10","Low",52157962,52157993,"ENST00000442502","Low"
"217","ENSG00000141179","chr17",55775819,55775850,"ENST00000576183","PCTP","Medium",55751393,55751424,"ENST00000417982","Medium"
"218","ENSG00000108946","chr17",68531137,68531168,"ENST00000358598","PRKAR1A","Low",68512474,68512505,"ENST00000392711","Low"
