"","gene_id","seqnames","start_3ire","end_3ire","transcript_id_3ire","gene_name","quality_3ire","start_5ire","end_5ire","transcript_id_5ire","quality_5ire"
"39","ENSMUSG00000028223","chr4",15918242,15918273,"ENSMUST00000029877","Decr1","Low",15945461,15945492,"ENSMUST00000029877","Medium"
"40","ENSMUSG00000028475","chr4",43733019,43733050,"ENSMUST00000131248","Spaar","Low",43730918,43730949,"ENSMUST00000131248","Low"
"41","ENSMUSG00000028546","chr4",110203991,110204022,"ENSMUST00000106598","Elavl4","Low",110286702,110286733,"ENSMUST00000106597","Low"
"42","ENSMUSG00000028707","chr4",115916623,115916654,"ENSMUST00000064806","Dmbx1","Medium",115924584,115924615,"ENSMUST00000064806","Low"
"43","ENSMUSG00000028654","chr4",123001203,123001234,"ENSMUST00000106252","Mycl","Low",122996098,122996129,"ENSMUST00000106252","Medium"
"44","ENSMUSG00000028906","chr4",131951639,131951670,"ENSMUST00000212761","Epb41","Low",132071471,132071502,"ENSMUST00000030739","Low"
"45","ENSMUSG00000046447","chr4",138458276,138458307,"ENSMUST00000050918","Camk2n1","Medium",138454879,138454910,"ENSMUST00000050918","Medium"
"46","ENSMUSG00000041025","chr4",139616481,139616512,"ENSMUST00000123827","Iffo2","Low",139574896,139574927,"ENSMUST00000174078","Low"
"47","ENSMUSG00000029071","chr4",155859224,155859255,"ENSMUST00000030948","Dvl1","Low",155847648,155847679,"ENSMUST00000030948","Low"
"48","ENSMUSG00000000600","chr5",3843601,3843632,"ENSMUST00000171023","Krit1","Low",3803446,3803477,"ENSMUST00000080085","Low"
"49","ENSMUSG00000039968","chr5",20893357,20893389,"ENSMUST00000036489","Rsbn1l","Low",20952532,20952563,"ENSMUST00000196780","Medium"
"50","ENSMUSG00000029135","chr5",32155402,32155433,"ENSMUST00000031017","Fosl2","Medium",32136277,32136308,"ENSMUST00000031017","Low"
"51","ENSMUSG00000054920","chr5",65167195,65167226,"ENSMUST00000204097","Klhl5","Medium",65107638,65107669,"ENSMUST00000204097","Medium"
"52","ENSMUSG00000049907","chr5",74199352,74199383,"ENSMUST00000051937","Rasl11b","Low",74195415,74195446,"ENSMUST00000051937","Low"
"53","ENSMUSG00000038569","chr5",122323814,122323845,"ENSMUST00000117263","Rad9b","High",122352599,122352630,"ENSMUST00000144268","Low"
"54","ENSMUSG00000029723","chr5",137759471,137759502,"ENSMUST00000100539","Tsc22d4","Medium",137761711,137761742,"ENSMUST00000110983","Low"
"55","ENSMUSG00000041313","chr5",148328474,148328505,"ENSMUST00000048116","Slc7a1","Medium",148399773,148399805,"ENSMUST00000048116","Low"
"56","ENSMUSG00000073111","chr6",42929644,42929675,"ENSMUST00000215369","Olfr446","Medium",42922340,42922366,"ENSMUST00000215369","Medium"
"57","ENSMUSG00000019124","chr6",54508903,54508934,"ENSMUST00000019268","Scrn1","Low",54554145,54554176,"ENSMUST00000129744","Medium"
"58","ENSMUSG00000029920","chr6",65115386,65115417,"ENSMUST00000031984","Smarcad1","Low",65043221,65043252,"ENSMUST00000204801","Low"
"59","ENSMUSG00000029999","chr6",86272021,86272052,"ENSMUST00000032066","Tgfa","High",86195246,86195277,"ENSMUST00000032066","Low"
"60","ENSMUSG00000030056","chr6",87818543,87818574,"ENSMUST00000089497","Isy1","Medium",87838649,87838680,"ENSMUST00000089497","Medium"
"61","ENSMUSG00000061653","chr6",89977172,89977203,"ENSMUST00000205088","Vmn1r46","Low",89971340,89971371,"ENSMUST00000228231","Medium"
"62","ENSMUSG00000094553","chr6",90108432,90108463,"ENSMUST00000089417","Vmn1r50","Low",90106158,90106189,"ENSMUST00000226577","Medium"
"63","ENSMUSG00000053004","chr6",114482806,114482837,"ENSMUST00000088987","Hrh1","Low",114408786,114408817,"ENSMUST00000088987","Low"
"64","ENSMUSG00000059689","chr6",117845775,117845806,"ENSMUST00000164472","Zfp637","Low",117842080,117842111,"ENSMUST00000112861","Low"
"65","ENSMUSG00000030180","chr6",120443325,120443356,"ENSMUST00000005108","Kdm5a","Medium",120364162,120364193,"ENSMUST00000135802","Low"
"66","ENSMUSG00000071226","chr6",120770623,120770654,"ENSMUST00000112686","Cecr2","Medium",120666482,120666513,"ENSMUST00000112686","Low"
"67","ENSMUSG00000040649","chr6",122452578,122452609,"ENSMUST00000146274","Rimklb","Low",122466512,122466543,"ENSMUST00000146274","Medium"
"68","ENSMUSG00000038390","chr6",124858557,124858588,"ENSMUST00000046893","Gpr162","Medium",124861936,124861967,"ENSMUST00000046893","Low"
"69","ENSMUSG00000032652","chr6",134857012,134857043,"ENSMUST00000046303","Crebl2","Medium",134830204,134830235,"ENSMUST00000046303","Low"
"70","ENSMUSG00000030226","chr6",138363310,138363341,"ENSMUST00000162772","Lmo3","Low",138426742,138426773,"ENSMUST00000162932","Low"
"71","ENSMUSG00000030228","chr6",139968442,139968473,"ENSMUST00000111868","Pik3c2g","Medium",139588562,139588593,"ENSMUST00000190962","Medium"
"72","ENSMUSG00000030232","chr6",140652088,140652119,"ENSMUST00000032359","Aebp2","Low",140627017,140627048,"ENSMUST00000161335","Medium"
"73","ENSMUSG00000003378","chr7",25046316,25046347,"ENSMUST00000205328","Grik5","Medium",25072192,25072223,"ENSMUST00000003468","Low"
"74","ENSMUSG00000004056","chr7",27640598,27640629,"ENSMUST00000108344","Akt2","Medium",27597100,27597131,"ENSMUST00000138459","Low"
"75","ENSMUSG00000054676","chr7",38195117,38195148,"ENSMUST00000178207","1600014C10Rik","Low",38183422,38183453,"ENSMUST00000178207","Medium"
"76","ENSMUSG00000011096","chr7",44854900,44854932,"ENSMUST00000107885","Akt1s1","Medium",44850112,44850144,"ENSMUST00000141311","Low"
"77","ENSMUSG00000062797","chr7",89918686,89918717,"ENSMUST00000153470","Hikeshi","Low",89930362,89930388,"ENSMUST00000130609","Medium"
"78","ENSMUSG00000004508","chr7",97305314,97305345,"ENSMUST00000004622","Gab2","Low",97081780,97081812,"ENSMUST00000004622","Low"
"79","ENSMUSG00000045659","chr7",116181213,116181244,"ENSMUST00000206662","Plekha7","Low",116181213,116181244,"ENSMUST00000084664","Low"
"80","ENSMUSG00000030878","chr7",120960192,120960223,"ENSMUST00000140247","Cdr2","Low",120982067,120982098,"ENSMUST00000033169","Medium"
"81","ENSMUSG00000030846","chr7",128440418,128440449,"ENSMUST00000106226","Tial1","Low",128461410,128461441,"ENSMUST00000106226","Low"
"82","ENSMUSG00000051051","chr7",140178278,140178309,"ENSMUST00000213953","Olfr523","Low",140173949,140173980,"ENSMUST00000216023","Medium"
"83","ENSMUSG00000038618","chr7",141217401,141217432,"ENSMUST00000127613","Rassf7","Medium",141216125,141216156,"ENSMUST00000210993","Low"
"84","ENSMUSG00000015755","chr10",7907180,7907211,"ENSMUST00000146444","Tab2","High",7956203,7956230,"ENSMUST00000146444","Medium"
"85","ENSMUSG00000038481","chr10",40482768,40482799,"ENSMUST00000044672","Cdk19","Low",40349370,40349401,"ENSMUST00000044672","Low"
"86","ENSMUSG00000038214","chr10",43514848,43514879,"ENSMUST00000167488","Bend3","Medium",43478933,43478965,"ENSMUST00000167488","Low"
"87","ENSMUSG00000020265","chr10",77617517,77617548,"ENSMUST00000020501","Sumo3","Low",77613734,77613765,"ENSMUST00000124024","Low"
"88","ENSMUSG00000020135","chr10",80316322,80316353,"ENSMUST00000105359","Apc2","Low",80301058,80301089,"ENSMUST00000140828","Medium"
"89","ENSMUSG00000053825","chr10",106935291,106935322,"ENSMUST00000217854","Ppfia2","Low",106470520,106470551,"ENSMUST00000029404","Low"
"90","ENSMUSG00000034813","chr10",120075669,120075700,"ENSMUST00000041962","Grip1","Medium",119819525,119819556,"ENSMUST00000105262","Medium"
"91","ENSMUSG00000020227","chr10",120141750,120141781,"ENSMUST00000020448","Irak3","Low",120202035,120202066,"ENSMUST00000145665","Low"
"92","ENSMUSG00000031441","chr8",12866805,12866836,"ENSMUST00000033818","Atp11a","Low",12757230,12757261,"ENSMUST00000033818","Medium"
"93","ENSMUSG00000031596","chr8",40917085,40917116,"ENSMUST00000098816","Slc7a2","Low",40862530,40862557,"ENSMUST00000098816","Medium"
"94","ENSMUSG00000038193","chr8",57324127,57324159,"ENSMUST00000040104","Hand2","Low",57321758,57321789,"ENSMUST00000040104","Low"
"95","ENSMUSG00000087408","chr8",70331505,70331536,"ENSMUST00000165819","Cers1","Low",70321547,70321578,"ENSMUST00000165819","Low"
"96","ENSMUSG00000109523","chr8",70331505,70331536,"ENSMUST00000207684","Gdf1","Low",70329848,70329880,"ENSMUST00000207684","Low"
"97","ENSMUSG00000031790","chr8",95374165,95374196,"ENSMUST00000034243","Mmp15","Low",95352556,95352587,"ENSMUST00000034243","Low"
"98","ENSMUSG00000031730","chr8",109593767,109593798,"ENSMUST00000133353","Dhodh","Low",109608564,109608596,"ENSMUST00000123605","Medium"
"99","ENSMUSG00000021803","chr14",37078974,37079005,"ENSMUST00000022337","Cdhr1","Low",37098158,37098189,"ENSMUST00000022337","Medium"
"100","ENSMUSG00000045691","chr14",55097973,55098004,"ENSMUST00000050575","Thtpa","Medium",55095254,55095286,"ENSMUST00000050575","Low"
"101","ENSMUSG00000007589","chr14",55674723,55674754,"ENSMUST00000226819","Tinf2","Low",55681756,55681788,"ENSMUST00000007733","Medium"
"102","ENSMUSG00000021998","chr14",75230734,75230765,"ENSMUST00000145303","Lcp1","Low",75190373,75190404,"ENSMUST00000131802","Low"
"103","ENSMUSG00000034731","chr14",78595170,78595201,"ENSMUST00000227537","Dgkh","Low",78732437,78732468,"ENSMUST00000226342","Low"
"104","ENSMUSG00000031922","chr9",13821569,13821601,"ENSMUST00000144484","Cep57","Low",13827044,13827075,"ENSMUST00000034398","Low"
"105","ENSMUSG00000040111","chr9",40294165,40294197,"ENSMUST00000137454","Gramd1b","Low",40531107,40531138,"ENSMUST00000119373","Medium"
"106","ENSMUSG00000034342","chr9",44150894,44150925,"ENSMUST00000206720","Cbl","Medium",44234012,44234043,"ENSMUST00000206720","Low"
"107","ENSMUSG00000032366","chr9",67023147,67023178,"ENSMUST00000113696","Tpm1","Low",67043843,67043874,"ENSMUST00000113696","Medium"
"108","ENSMUSG00000035274","chr9",85846096,85846127,"ENSMUST00000006559","Tpbg","Medium",85843788,85843819,"ENSMUST00000006559","Low"
"109","ENSMUSG00000034354","chr11",4481277,4481309,"ENSMUST00000109943","Mtmr3","Medium",4594775,4594807,"ENSMUST00000109943","Medium"
"110","ENSMUSG00000010803","chr11",42131039,42131070,"ENSMUST00000205546","Gabra1","Low",42182286,42182317,"ENSMUST00000020707","Low"
"111","ENSMUSG00000018761","chr11",69657454,69657485,"ENSMUST00000148242","Mpdu1","Medium",69662572,69662598,"ENSMUST00000018905","Low"
"112","ENSMUSG00000040938","chr11",70216268,70216299,"ENSMUST00000123716","Slc16a11","Low",70214129,70214160,"ENSMUST00000126388","Medium"
"113","ENSMUSG00000017837","chr11",100626947,100626978,"ENSMUST00000017981","Nkiras2","High",100622972,100623003,"ENSMUST00000017981","Low"
"114","ENSMUSG00000048264","chr13",9668033,9668064,"ENSMUST00000174552","Dip2c","Medium",9276567,9276598,"ENSMUST00000174552","Low"
"115","ENSMUSG00000021327","chr13",21393363,21393394,"ENSMUST00000224820","Zkscan3","Medium",21394845,21394876,"ENSMUST00000223831","Medium"
"116","ENSMUSG00000039087","chr13",37950458,37950489,"ENSMUST00000128570","Rreb1","Low",37826164,37826195,"ENSMUST00000110238","Low"
"117","ENSMUSG00000034928","chr13",54679562,54679593,"ENSMUST00000177950","Rnf44","Low",54684407,54684438,"ENSMUST00000177950","Medium"
"118","ENSMUSG00000025877","chr13",55012119,55012150,"ENSMUST00000132309","Hk3","Low",55021280,55021311,"ENSMUST00000052949","Low"
"119","ENSMUSG00000021687","chr13",94202407,94202438,"ENSMUST00000022197","Scamp1","Low",94265057,94265088,"ENSMUST00000138255","Low"
"120","ENSMUSG00000021716","chr13",104838296,104838327,"ENSMUST00000022230","Srek1ip1","Low",104817224,104817255,"ENSMUST00000022230","Low"
"121","ENSMUSG00000020652","chr12",4196801,4196832,"ENSMUST00000146261","Cenpo","High",4233880,4233911,"ENSMUST00000111169","Low"
"122","ENSMUSG00000019256","chr12",35504893,35504924,"ENSMUST00000110811","Ahr","Low",35534654,35534685,"ENSMUST00000116436","Low"
"123","ENSMUSG00000036095","chr12",38633334,38633365,"ENSMUST00000040500","Dgkb","Low",37817736,37817767,"ENSMUST00000222337","Medium"
"124","ENSMUSG00000021027","chr12",55683924,55683955,"ENSMUST00000219566","Ralgapa1","Medium",55820773,55820804,"ENSMUST00000085385","Medium"
"125","ENSMUSG00000042734","chr12",81667302,81667333,"ENSMUST00000218362","Ttc9","Low",81631310,81631341,"ENSMUST00000218362","Low"
"126","ENSMUSG00000033854","chr12",98430288,98430320,"ENSMUST00000221240","Kcnk10","Low",98577961,98577992,"ENSMUST00000221240","Low"
"127","ENSMUSG00000021187","chr12",101647483,101647514,"ENSMUST00000162735","Tc2n","Low",101711692,101711723,"ENSMUST00000110047","Low"
"128","ENSMUSG00000021209","chr12",103606923,103606954,"ENSMUST00000189871","Ppp4r4","Low",103532514,103532545,"ENSMUST00000021631","Medium"
"129","ENSMUSG00000040856","chr12",109461667,109461698,"ENSMUST00000056110","Dlk1","Low",109453498,109453529,"ENSMUST00000109844","Low"
"130","ENSMUSG00000021175","chr12",117878617,117878648,"ENSMUST00000021592","Cdca7l","Medium",117843791,117843823,"ENSMUST00000021592","Low"
"131","ENSMUSG00000022263","chr15",27732251,27732283,"ENSMUST00000090247","Trio","Medium",27788211,27788242,"ENSMUST00000226287","Low"
"132","ENSMUSG00000033728","chr15",76715939,76715971,"ENSMUST00000127208","Lrrc14","Medium",76711474,76711505,"ENSMUST00000136840","Low"
"133","ENSMUSG00000022671","chr16",15848593,15848624,"ENSMUST00000229680","Mzt2","Low",15863317,15863347,"ENSMUST00000023351","Low"
"134","ENSMUSG00000024219","chr17",28061130,28061161,"ENSMUST00000114842","Anks1","Low",28007935,28007966,"ENSMUST00000139173","Low"
"135","ENSMUSG00000002249","chr17",28332086,28332117,"ENSMUST00000154873","Tead3","Low",28350304,28350335,"ENSMUST00000154873","Medium"
"136","ENSMUSG00000006050","chr18",36666883,36666914,"ENSMUST00000173875","Sra1","Medium",36679100,36679131,"ENSMUST00000001415","Low"
"137","ENSMUSG00000019143","chr18",36791301,36791332,"ENSMUST00000152954","Hars2","High",36783228,36783259,"ENSMUST00000152954","Low"
"138","ENSMUSG00000051316","chr18",37641208,37641239,"ENSMUST00000066272","Taf7","Medium",37644084,37644115,"ENSMUST00000066272","Low"
"139","ENSMUSG00000024843","chr19",3894057,3894088,"ENSMUST00000128694","Chka","Low",3851946,3851978,"ENSMUST00000128694","High"
"140","ENSMUSG00000024949","chr19",6377513,6377544,"ENSMUST00000131252","Sf1","High",6363940,6363971,"ENSMUST00000131252","Low"
"141","ENSMUSG00000025078","chr19",56597754,56597786,"ENSMUST00000071423","Nhlrc2","Low",56548599,56548630,"ENSMUST00000071423","Low"
"142","ENSMUSG00000025089","chr19",58236762,58236793,"ENSMUST00000026076","Gfra1","Medium",58454950,58454981,"ENSMUST00000138530","Low"
